id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
theta-fuel,100,TFUEL,Theta Fuel,6836056507.0000000000000000,,310552920.0077226773936904,1263689.1706591889436104,0.0454286648581272,-3.1634636089801219,0.0450373413278158,https://explorer.thetatoken.org/
xyo,101,XYO,XYO,13476747692.0000000000000000,13931216938.0000000000000000,306728055.6912624256714124,30726969.0595762251721791,0.0227597980389097,27.2569693319449242,0.0217742076678566,https://etherscan.io/token/0x55296f69f40ea6d20e478533c15a6b08b654e758
dash,102,DASH,Dash,12136546.1275879300000000,18900000.0000000000000000,306082792.8574636735655915,16195297.5336722258156530,25.2199258042366869,0.0141190651314748,24.6337756724653995,https://explorer.dash.org
kusama,103,KSM,Kusama,16078328.2069298800000000,,304797049.5272355492846562,7189028.5801258007394913,18.9570113014527055,-3.9577752249276658,18.9312332807225770,https://kusama.subscan.io/
livepeer,104,LPT,Livepeer,37914133.1820254300000000,,302169191.2855964127947170,10589647.0455944509003222,7.9698298741233171,-1.3384484704873531,7.7729919264633805,https://explorer.livepeer.org/
oasis-network,105,ROSE,Oasis,7064132681.0000000000000000,,300038266.5459739570300136,9570261.4034349841643820,0.0424734755270056,2.8954598925223613,0.0405341667055320,https://www.oasisscan.com/
nervos-network,106,CKB,Nervos Network,45905838138.8249000000000000,,290055623.7812725073713739,7875657.1696465920561365,0.0063184909706715,-1.7577748899464218,0.0061831906955929,https://explorer.nervos.org/
holo,107,HOT,Holo,174967605792.4477800000000000,,276284946.6292063960389364,2096910.8766405270830172,0.0015790634236428,-0.3724226277001479,0.0015523440139190,https://etherscan.io/token/0x6c6ee5e31d828de241282b9606c8e98ea48526e2
zilliqa,108,ZIL,Zilliqa,19501110465.1496660000000000,21000000000.0000000000000000,272530344.8466144256132133,9209824.1478653287275778,0.0139751192801893,-2.2720053925373144,0.0137980035722355,https://etherscan.io/token/0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
basic-attention-token,109,BAT,Basic Attention Token,1495658356.9526057000000000,,260742215.2841338097675473,7310818.8493274075462643,0.1743327372003553,-1.5184477510879423,0.1713376490150928,https://etherscan.io/token/Bat
0x,110,ZRX,0x Protocol,848396562.8973439000000000,1000000000.0000000000000000,253702429.6504761120990017,5795350.7513414090130303,0.2990375500627460,-2.9308791678582662,0.2962573942203147,https://etherscan.io/token/ZRX
gas,111,GAS,Gas,64992331.0000000000000000,,247042673.7912010390855475,417477.2707503417258176,3.8011049917751225,-0.7594935109210378,3.7490683428714133,https://neotracker.io/asset/602c79718b16e442de58778e148d0b1084e3b2dffd5de6b7b16cee7969282de7
golem-network-tokens,112,GLM,Golem,1000000000.0000000000000000,1000000000.0000000000000000,242650487.9505428000000000,126020.6397204211983466,0.2426504879505428,-2.6302082549525647,0.2397477115595991,https://etherscan.io/token/Golem
origintrail,113,TRAC,OriginTrail,499995032.6020000000000000,,238573135.3403817695894229,452340.4152229593495322,0.4771510110787198,-6.5161192380767043,0.4765162516152344,https://etherscan.io/token/0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f
celo,114,CELO,Celo,562409366.0000000000000000,1000000000.0000000000000000,234842172.2266259808050852,7738773.4611687929425996,0.4175644760272822,-0.7114920416320760,0.4075475442051524,https://explorer.celo.org/blocks
synthetix-network-token,115,SNX,Synthetix,233716733.4900000000000000,212424133.0000000000000000,233893559.7310498228050265,19794078.4827884333964845,1.0007565835719563,-3.4186042815380687,0.9986857652616792,https://etherscan.io/token/0xc011a72400e58ecd99ee497cf89e3775d4bd732f
ankr,116,ANKR,Ankr,10000000000.0000000000000000,10000000000.0000000000000000,223659406.5492590000000000,4427523.9146055751436173,0.0223659406549259,-0.2377705368024463,0.0220002574022420,https://etherscan.io/token/0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4
